# 85,2.519226,2.5193002,1.5129768,1.5132704
00	2.5193002	1.5129768
01	2.5192997	1.5129845
02	2.5192993	1.512989
03	2.5192993	1.512989
04	2.5192993	1.5129896
05	2.5192988	1.51299
06	2.5192988	1.51299
07	2.5192986	1.51299
08	2.5192983	1.5129904
09	2.5192976	1.5129905
10	2.5192916	1.5129893
11	2.5192854	1.5129886
12	2.5192845	1.5129887
13	2.5192804	1.5129881
14	2.5192795	1.5129882
15	2.5192747	1.5129881
16	2.5192733	1.5129877
17	2.519272	1.5129876
18	2.5192719	1.5129876
19	2.5192707	1.5129873
20	2.51927	1.5129874
21	2.5192697	1.5129874
22	2.5192697	1.5129874
23	2.5192688	1.5129871
24	2.5192685	1.5129873
25	2.5192673	1.5129868
26	2.5192614	1.5129862
27	2.5192552	1.5129861
28	2.5192559	1.5129914
29	2.5192564	1.5129961
30	2.5192585	1.5130107
31	2.5192595	1.5130159
32	2.5192595	1.5130198
33	2.5192604	1.5130253
34	2.5192606	1.5130268
35	2.5192606	1.5130274
36	2.519261	1.5130283
37	2.519261	1.5130296
38	2.5192611	1.513032
39	2.5192611	1.513032
40	2.5192614	1.5130332
41	2.519261	1.5130341
42	2.519261	1.5130345
43	2.519261	1.5130348
44	2.519261	1.5130378
45	2.519261	1.5130378
46	2.5192606	1.5130379
47	2.5192604	1.5130416
48	2.5192604	1.5130439
49	2.519257	1.513044
50	2.519256	1.5130439
51	2.519255	1.5130441
52	2.519254	1.5130448
53	2.5192525	1.513046
54	2.5192513	1.5130465
55	2.5192506	1.5130473
56	2.5192487	1.5130491
57	2.519246	1.5130514
58	2.5192456	1.5130515
59	2.5192456	1.5130527
60	2.5192444	1.5130622
61	2.5192425	1.5130776
62	2.519242	1.5130848
63	2.5192392	1.5131099
64	2.519238	1.5131199
65	2.519237	1.5131273
66	2.5192354	1.5131404
67	2.5192342	1.5131531
68	2.5192325	1.513165
69	2.5192316	1.5131754
70	2.5192313	1.5131807
71	2.5192301	1.5131873
72	2.5192292	1.5131948
73	2.519227	1.5132132
74	2.5192268	1.5132184
75	2.519226	1.5132216
76	2.5192263	1.5132228
77	2.5192273	1.5132248
78	2.519228	1.5132262
79	2.5192368	1.5132447
80	2.5192375	1.5132468
81	2.5192425	1.5132568
82	2.5192485	1.5132704
83	2.5192494	1.5132637
84	2.5192513	1.5132476
